gene_name     synth_rate halflife
PIWIL2               1.2     15.1
MFGE8                6.1     16.1
CSRP3                1.0      8.9
TFE3                 3.9      6.3
WDR36                1.4      8.9
PPP4R4              20.7     12.5
VMAC                12.1      8.8
ADD3                 3.7     11.4
C7orf77              1.5     14.7
IL26                17.8     12.6
MMS19                0.6     21.4
STRADB               1.1     12.3
CCDC112              4.7     13.3
RRM1                 9.0      4.9
ILK                  2.9     11.3
RASL11A              3.9     14.5
TREH                 4.1     17.0
CEL                  2.9     13.3
OR2T33               9.6      7.5
DEF8                 0.9     10.5
HECTD1              10.0     21.2
OR52E5               4.3      7.0
TMEM138              1.0      5.4
GGTLC3               7.5     21.4
RAB7B                9.8     11.6
PPP1R17             10.2     24.9
TCP10L2              2.3     24.6
ZNF467               1.7      3.5
CGB1                 5.0      9.1
SFRP4                0.2     15.3
C8orf86              6.6     12.3
CT47A4               2.6     10.6
grapefruit           0.9     19.8
RBM18                2.7     12.6
KRT78                3.2     16.7
SAP130               3.3      7.6
PSRC1                0.6      4.2
KIF7                 6.0     16.2
B3GNT8               2.8      9.4
ARL6                 1.7      7.8
GGT5                 5.6     16.5
CENPA                0.7      9.3
LGALS9C              1.0      6.5
FLOT2                9.2      7.5
C6orf62              0.8     17.9
LCTL                 0.7     12.1
GNLY                 4.2      6.3
FBLN7                0.4      5.4
IDH3G                2.1      7.6
MAML2                1.2     14.1
anise                0.4     13.9
MGST2                2.3     18.0
NUP210               1.1     13.0
DDR1                 4.0     13.3
C1QA                 1.6      3.6
SERHL2              36.3      7.3
ZNF776               2.9     12.5
NDUFA13              1.2      9.4
ADAMTSL4             0.8      4.7
TFEC                 1.4      9.4
SAGE1                5.6     11.4
RAPGEF6             13.2     19.1
RP11-400G3.5         0.7     11.4
S100A13              0.6      7.2
RUFY3                0.5     12.5
TEKT3                4.4     10.4
POMGNT2              0.7     20.9
RAB13                9.0      6.8
GAB2                 0.8      7.4
CBX6                 2.2     19.8
C5orf49              8.9      9.3
ATP2C1               5.6     18.9
HSPA12B              5.9     10.8
SLC16A2              1.1      8.5
MUC5B                1.4      9.6
GNG7                 1.9     13.6
TEX12                0.9     14.3
NDUFAF1              2.6      6.1
CCDC77               1.8     10.9
PDE8A                3.5     14.1
BCHE                 3.1      7.0
KCTD1                1.2      8.4
LCMT1                8.5      5.5
BCL2L15              7.6      9.8
UBXN2A               0.9      9.9
KLK6                 2.3      9.1
TCHH                 9.2     15.5
TRIM24               1.3     23.7
KYAT1                0.2     17.2
ATP6V1B2             2.3     12.6
CHMP4C               4.8     12.7
PLXNA3               1.4     12.2
RP3-468K18.7        13.8     14.0
PLEKHA8              9.6      9.5
TBX1                 3.5      8.6
IFI16                0.2      7.9
MARVELD1             1.1     15.5
BBC3                 1.3     10.3
PRPSAP1              4.6      4.8
SLC12A4              0.4      9.1
NBN                  3.2     10.8
DAB1                 2.6     12.9
NPM1                 0.3      9.1
RASSF3               0.5     11.9
HSPB1                2.6     15.5
CENPM                1.0     18.6
BET1                 0.4      5.4
CNTNAP1              0.3     11.3
MCOLN1               1.5     10.9
PAQR7                1.7     13.3
TUSC5                1.1     10.4
FAM107A              2.2     12.1
HHIPL2               6.0      7.8
ZMAT5                6.5      7.4
F11R                 2.7      6.3
CBR1                 1.2     12.7
HOXB3                8.3     12.0
ACTBL2               3.3      9.4
XPC                  2.2      9.3
C19orf84             3.1     10.1
FAM47E               3.4      7.2
SPATA31D1            1.7     27.8
PIWIL4               2.0      9.3
LRRC3C              11.8     14.0
AKAP13               2.1     10.5
GRHL1                1.9      9.2
MRPS7                3.7      9.3
SCAMP5               2.2      9.6
FOXP3                2.4     22.9
HOXB2                1.4     12.8
ANXA1                6.5     10.7
ZBTB8A               3.4     11.5
MSMP                 7.2     10.8
LGALS13              4.1      8.7
SDE2                 5.4     12.7
NCAPH2               0.7     13.0
SPATA32             13.7     14.3
DDX4                 2.4      7.9
RCOR3                2.7      5.4
OSBPL1A              0.8      7.2
C3orf18              1.5     12.8
ZNF846              15.6      8.5
NPHP3                2.3     25.4
ITIH3                2.1     10.7
GPC2                 1.1     12.6
FAM45A               8.0     13.7
CCNE2                2.9     14.4
RPS6KA5              4.2     10.9
DUSP1                3.4      6.6
ITLN2                0.2      7.0
LOR                  2.5     27.7
ZNF345               5.3     11.2
HNRNPA3             15.3      9.5
C11orf96             1.2     14.0
AK8                  1.1      4.6
RPL39L               2.5     11.8
ABCD4                1.3     12.1
EVC                  0.5     10.0
EMX1                 2.5     21.5
TLE3                34.4     20.2
HSPB2                3.3     11.1
C5AR1                8.7     11.7
HUNK                 2.7     11.0
CACNA1I              2.4     27.0
PLEKHA3              0.5     15.5
GGT2                 1.0     15.3
CMPK2                4.4      4.4
MKNK1                0.9     20.8
IRF4                 0.5     26.6
EDA2R                0.4     10.1
RER1                 0.9      9.2
MED1                 0.6     10.7
ACPT                11.0      9.5
FAM110A              2.6      7.1
PF4                  2.2      9.9
POTEB                3.0      8.6
PECR                 2.9      8.2
RC3H2                3.4      7.0
POM121L12           16.2     22.0
CKS2                 0.7     14.6
IRX1                 3.2      8.7
OR10R2               8.4     16.2
FAM20A               1.2     18.4
XRCC3                1.0     11.9
F8A2                 2.9     18.9
SPDL1                5.5     12.3
CA12                 1.2      8.2
OR7D4                1.9     11.4
XKR8                 0.2      9.3
UNC13C               3.0     15.3
SREK1IP1             0.3      6.9
DDX31                0.8      6.1
BTN3A2               5.1     16.3
OR56B1               2.6     17.4
DCAF8L1              1.0     30.0
SMYD5                1.3     10.2
DEFB4B               0.5      5.7
SLC18A3             11.1     33.2
RGP1                11.7      8.8
PPA2                 6.6     16.2
SLC2A12              2.1     10.7
MPHOSPH10            1.3     24.8
NDUFS5               7.8      9.4
DGKI                 4.5     12.2
C8orf44-SGK3         4.1      8.6
ISX                  1.9     24.1
PNLIPRP3             0.8     15.6
A2ML1               11.3      5.7
RAB11FIP4            5.2     18.5
GSTA2                5.1     10.7
LRRC42               1.8     19.2
TOR4A                0.3      6.3
CDC42BPG             2.0      6.5
F8                   1.3     10.6
SYN2                 5.1      3.8
COPG2                5.7     11.5
GUK1                 0.5     17.1
GBP7                 7.3     14.7
TNIP1               31.7     10.2
FAM214A              9.1      9.3
COX4I2               1.9      8.7
CGNL1                3.9     33.5
AP1G1                1.6     13.1
CCRL2                1.7     15.6
OR13C5               4.5      3.7
B3GAT2               1.4     10.7
RP11-474G23.1       15.8      8.3
SP6                  7.6     25.5
DBF4                 3.3      9.0
SLAMF7               2.4      8.8
TNRC6A               6.5     12.8
PKD2L1               9.6      4.1
CPA1                19.8     13.2
CNKSR3               5.1     14.3
RP11-849H4.2         3.5     14.6
PEMT                 2.2      9.3
STARD10              4.2     11.6
C1QTNF3-AMACR        2.7     18.8
RP11-65B7.2          0.5      7.3
ZNF395               1.8      8.3
HSPA4                5.7      7.5
NPIPB7               3.1     10.5
TUBA1A               0.8      4.5
MTMR9                1.0     13.3
SLC39A4              2.4     11.7
SCD                  1.7     16.5
CRTAM                8.1      9.6
AC136352.1           0.7     14.9
CCDC159             10.4     10.6
SLC30A7              5.4     10.7
GLO1                 1.2     13.9
NPHP1                1.7     12.3
TMEM117              0.9     16.2
CCDC12               0.6     25.0
AC004158.1           1.5     16.4
SLC9B2               2.0     11.5
PPP6R2               3.9     13.0
EYA1                 6.6     19.8
LPIN1                1.9     14.6
CTD-3214H19.16       5.9     12.3
EPB41L2              0.5      3.3
FAM58A              14.3     11.5
LRIF1                6.0      7.1
NID1                 5.2      5.3
HIST2H2AC            1.1     18.7
ALOX5                1.4      7.3
SLC25A29             5.1      7.6
NIPA2                0.6      9.0
KPNA6                6.1      6.9
XIRP1                0.7     10.8
KCNAB1               6.7     11.2
RGS12                1.1     30.9
FAM81A               2.3     14.4
VIMP                 9.5     16.0
MMP20                2.8     11.7
FUT11               10.8     22.6
ARL4C               11.2     21.3
GAPDH                1.0     22.8
ZYG11A               5.3     16.9
KDR                  8.1     12.9
SIX5                16.4      8.3
NR1D2                1.9     16.5
AC110615.1           0.3      6.5
KDM4D                3.0     13.8
LDAH                 2.0     12.5
GRK5                 0.8     15.3
OLFML2B              1.1      7.6
SLC27A3              0.6     11.6
FBXO36               3.9      7.4
VWA5B2               0.6     12.8
ATXN1L               5.7      9.7
TMEM91               0.7     10.5
TMEM249              0.6     15.5
LCK                  1.0      9.8
CABLES1              0.3      9.7
TACR2                4.8      8.2
STARD6              29.5      8.9
CPXCR1               1.6      9.0
CTPS1               19.9     18.0
NUDT16               4.5      9.3
CLSPN                1.8     18.0
RNFT2               23.4     23.0
CCL26               11.1     14.8
ANGPTL6             10.1     19.6
SH3BGRL2             1.9     18.5
ARL14                5.2     20.8
MARVELD3             0.8     15.2
RP11-507K12.1        4.7      9.9
KLK8                 1.4     11.0
SLAMF1               0.9     16.5
OR8K1                1.0     12.0
HTR5A               11.3     21.2
H2AFB3               0.7     30.2
LGI3                 2.2      9.1
ZNF311              14.6     25.9
RP11-226E21.4        1.8     16.8
SMIM10               0.6     39.8
UBXN8                3.3     13.6
DNAH12               3.4     15.9
AC231657.1           3.0     12.3
MRPL41               0.4      4.6
PPA1                 2.6     13.1
TAS2R20              2.9     12.1
NARFL                1.5      9.0
AP3D1                3.1     21.6
CCPG1                1.3     18.8
TRMT13              11.1      5.6
XPNPEP1              2.6      5.9
CDKN3                1.7      6.0
KRT33B               0.9     12.8
SPIRE1               5.1      8.1
MGRN1                4.9     25.3
ACY1                10.6      6.4
GBP2                 1.5     11.5
TET1                 0.3     15.0
COX6B2               7.9     14.1
KRTAP21-3            4.3     12.6
ACAD8                0.7     21.4
TMED7                2.7     14.9
MEP1A                1.5      8.9
MSANTD1              0.7      7.7
TTLL11              15.8     12.5
CINP                 4.3      7.5
ALDOA                3.9     21.5
LYNX1                1.5     17.2
OR10A3               1.0     21.8
DNAJC30              0.4     11.5
RP1-302G2.5          2.1     18.8
MKL1                 2.4     13.5
CCDC87               4.8     10.2
MOB1B                2.6      5.5
GAMT                 1.7     11.6
RPL21                2.5     25.4
UBP1                 1.7     11.2
SYNJ1                6.3      8.1
KIF3B                2.0     28.7
PIGX                 1.9     16.7
DCUN1D3              1.2     20.1
AC007906.1           4.5      4.6
MGAT3                2.8     14.1
GDPD1                1.3      8.5
KRTAP23-1            2.2      5.4
SLC24A3              7.4      3.9
CA3                  3.0      7.6
PARP3                1.7     12.4
NAA15                3.8     12.6
TMEM139              4.2     15.3
MRPL36               3.2      6.8
USP11                0.3      5.1
HIRA                 1.6     14.0
C14orf2              2.3     19.8
PARPBP               2.8     17.8
PPEF2                1.4     15.1
GPR153               1.3     10.8
NSUN6                6.5     18.7
AC090094.1           6.6     14.1
HOXA10-HOXA9         0.7     10.6
PRSS56              12.3      3.5
GORAB                1.0      5.9
STYX                 4.6     21.8
NLRP2B               1.0      6.3
AC016753.1           1.8      6.4
TMEM231              2.0     15.2
PRRC2B               2.6      9.8
TDRD7                2.4     19.6
STMND1               4.6     20.7
FIG4                 2.5     10.4
WDTC1                0.6      8.6
IL36G                1.7      6.7
SOCS7                1.6     13.4
MARC1                0.9      8.8
TGDS                 0.6     10.6
ZNF484               3.8      9.7
IFI27                0.3     27.7
CCDC116              2.6      9.8
RP11-613M10.9        3.1     21.0
HBG2                 0.4     21.8
ZNF428               3.9     11.4
ANKRD13D             1.3     14.3
ZMYND15              2.7     10.1
FCGR2A               4.4     24.3
MECP2                7.3     11.2
IL33                 1.9     12.2
SCFD2                1.2     16.6
GRP                  2.4      7.9
HEY1                 3.6     14.3
ZNF180               0.2     10.5
TAF11                4.2     18.4
INSL3                3.4      6.9
CAMSAP2              0.3      5.5
RETNLB               5.9     10.0
GJA1                 8.5     34.0
TUBGCP2              0.9     16.5
RP11-402P6.15        4.5      5.2
POTEI                0.2     14.7
RSL1D1               1.7     13.7
TCF12                1.8      7.5
GRTP1               13.9     28.5
TTC30A               3.8     13.5
SRRD                 1.9      9.6
RC3H1                0.9     25.1
BARHL1               0.7      8.4
CAMK2N1             13.3     11.3
CCT6A                3.4     11.6
PLA2R1               3.6     17.9
DMRTC1B              5.6     14.4
LAP3                12.9     18.2
SPINT4               2.4      9.2
WIZ                  0.8     14.5
AC110602.1           0.7     23.6
NR1H4                4.7      8.4
PHF2                 0.7     22.6
PABPN1               2.9     16.8
RNF34               14.0      9.7
IL1B                 2.7     31.4
BUB1                 0.3     16.0
RNASE4               1.3     22.9
AC138969.4           1.5     11.2
AGER                 0.9     23.4
CTF1                 1.5     10.4
SCRN3               16.7      6.4
EPG5                 2.0     21.6
KIF2A                2.9      9.4
MAGEA11              1.0      7.5
IL1RN                1.4      8.5
CCNA2                0.7     13.4
ROS1                 5.9     19.7
PLS3                 0.8      7.8
CRYBA2               2.5     17.6
SMIM21               2.7      8.6
ZSCAN9               0.5      9.4
ZNF497               1.9     49.2
OR51F2               2.4      6.6
SYT6                 0.6      7.3
ANO8                 1.2      8.6
COX16                0.8     16.3
FXYD3                0.7      6.2
ATG16L1              2.2      9.1
COBLL1               1.7     12.8
CTD-2140B24.4        7.6     11.8
SORBS1               2.8     16.3
IL10RB               2.3     14.8
HNRNPCL4            24.7      5.5
C11orf87             1.3     18.2
MACROD2             21.9     15.9
PHEX                 3.5     17.2
CBLC                 2.8     19.4
TFB1M                0.8     11.0
PDE6H                0.9     20.4
SGMS2                1.5      8.4
DEGS1                2.6     20.2
CTD-3214H19.4        0.8     22.3
TBX4                 5.4     14.2
GALP                 1.4     11.2
SMTNL2               2.0      9.3
SYS1-DBNDD2          2.7      3.5
VWA3A                5.5     11.2
TMEM232              1.3     16.2
DIS3L2               2.6     10.8
NADK2                3.7      7.3
FAM20B               0.5     11.8
SPAM1                1.8     13.5
USP17L27            39.9     13.1
COLGALT1             6.5     14.9
MGAT4D               1.3     11.6
EID2B                8.5      7.5
CYGB                 2.1      9.2
LYPLA1               3.0     10.0
CARD11               2.6      6.4
RTEL1-TNFRSF6B       1.5      9.5
ABCB4                1.2     35.0
TPCN1                2.3     10.1
UNC5A               13.1      9.4
SLC35C1              2.3     10.8
ZNF770               0.5      9.7
MDFI                 4.3      7.7
RNF168               5.7      9.1
TNKS2                3.0      9.5
COL7A1               0.5      6.5
SLC24A4              1.0     16.9
CORO2B               7.6     11.2
KLK5                 1.3     21.4
NEPRO                2.2      6.1
CRKL                 0.2      7.7
RP11-80H18.3         1.5      9.8
NUDC                 0.4      6.2
HYAL4                6.1     15.7
FAM167B              2.0     12.0
CDH3                 2.9     14.3
HIST1H2BA            2.9     12.7
TMEM52B              0.7      8.7
SOX11                0.6      7.0
DARS                 6.5     15.1
BTG2                 4.1     14.3
KCNIP3               4.2     11.2
FLG                  4.0     23.1
NPAS4                1.1     13.9
RP11-434D12.1        4.8     16.1
SHISA9               5.0     21.1
SPDEF                1.3     14.6
RBM48                2.2     14.8
ARHGAP31             5.2      8.5
RBMXL3              10.0      6.7
PLA2G4C              1.1     20.9
OR11A1               5.3     10.5
TCOF1                1.0     23.4
CHRDL1               9.9      7.3
LDLRAD1              2.6     11.3
TNFRSF17             0.2      4.5
IFT140               1.5     18.9
AC091180.1           1.3     15.5
CFB                  1.7     18.1
ZDHHC13              1.3     23.2
PAPPA2               9.2     18.0
VPS4A               18.3      9.7
GPHA2                0.5     10.6
ARFIP1               4.2      8.6
POTEC                1.2     17.6
GPR158               0.8     12.4
AMMECR1              2.4      9.6
ATG3                 8.2     20.5
PIM3                 0.9     17.8
ANKS1B               4.3     12.8
TMEM2                1.6      6.4
SNRPN                1.8      9.4
SSX4B                0.8      8.4
GABRG2               3.1      6.8
ARPP19               2.2     13.4
TMEM17               2.2     21.9
TAC3                 0.5     34.4
XKR9                 3.4     11.3
CDRT15L2             3.2     11.5
PAK1                 2.3      7.5
PUS7L                0.9     10.5
TFEB                 1.2      8.9
UBE2G2               0.5     19.0
FAM21A               0.9     25.1
PEX6                 2.2     14.5
FCN1                 1.0     10.5
BMP4                 2.4     19.0
GLIPR2               0.9      8.1
AKIP1                3.6      9.2
FRA10AC1             3.8     18.3
BEND7                1.9     12.7
MEF2B                6.0     17.5
CD8A                 1.2      9.6
KLRG2                1.2      8.7
ZNF586               1.7     27.7
INPP4A               1.7     10.7
PQLC2                1.6      7.3
ZDHHC11B             4.6      9.4
TGM1                 2.9      9.4
RP11-444E17.6        7.4      9.7
TLK1                 2.3     19.1
PRAMEF14             2.5     13.1
C3orf20              4.7     32.6
RPAP2                1.7     11.1
LEPR                 2.2     13.8
ACER1                0.3      9.7
ADAL                 3.4     14.2
TBC1D20              0.9      7.1
GSE1                 7.0     19.0
NT5C2                4.7     19.5
VCL                  0.3      8.3
KPNA5                3.0     19.1
FRG2                 1.6     15.5
RCOR2                0.2     11.4
AC096949.1           1.0      5.6
TMED3                0.5     24.2
AMT                 11.1     25.9
TCF25                1.3     34.4
RIMS2                1.7     12.5
MYO9B                2.1      8.8
CTCFL                3.2     11.3
