gene_name         0h    12h    24h    48h    96h 
KLHL17           113.3  136.9  140.2  113.0   43.9 
PLEKHN1           70.0  107.3  121.2  152.1  137.0 
PERM1             16.5    9.7    5.3    1.5    0.1 
HES4              22.0   13.1    7.5    1.8    0.1 
ISG15             53.8   13.3    3.1    0.1    0.0 
AGRN              29.2   22.7   15.7    5.9    0.5 
RNF223           150.5  132.6   83.0   35.6    4.0 
C1orf159          50.4   62.8   60.5   56.4   28.8 
TTLL10            32.6   28.3   27.1   14.4    3.2 
TNFRSF18          14.8   12.3    9.2    3.6    0.4 
TNFRSF4           48.0   42.4   24.4   11.1    1.0 
SDF4              26.6   12.3    4.9    0.6    0.0 
B3GALT6           10.4    6.4    4.0    1.3    0.1 
FAM132A          110.4  122.9  114.4   85.1   28.2 
UBE2J2            29.7   29.7   25.3   13.2    2.6 
SCNN1D            30.7   32.8   28.6   20.4    5.5 
ACAP3             53.5   76.6   84.0  106.3   77.9 
PUSL1             15.3    5.7    1.6    0.1    0.0 
CPSF3L            18.3   16.8   14.1    7.6    1.5 
CPTP              51.6   48.7   48.6   34.3   10.7 
TAS1R3            14.5   15.8   15.0   12.5    4.1 
DVL1             124.4  187.9  234.8  317.0  253.3 
MXRA8            125.0  144.6  152.9  146.1   83.2 
AURKAIP1           8.0    4.6    2.2    0.5    0.0 
CCNL2             44.0   28.9   16.2    5.5    0.3 
MRPL20            46.6   38.3   24.1    9.1    0.7 
ANKRD65            4.0    1.2    0.3    0.0    0.0 
TMEM88B           38.7   38.5   29.6   16.4    2.7 
VWA1               6.9    1.2    0.3    0.0    0.0 
ATAD3C            19.9   15.5   11.3    4.2    0.3 
ATAD3B             7.9    2.3    0.7    0.0    0.0 
ATAD3A             9.0    6.2    3.4    1.1    0.1 
TMEM240           10.0    8.1    5.5    2.4    0.3 
SSU72            110.3   79.4   48.9   14.7    0.9 
AL645728.1        16.5   11.5    6.5    1.8    0.1 
FNDC10           133.1  151.1  168.0  168.7  101.4 
MIB2              18.0   19.2   18.4   11.9    3.4 
MMP23B            30.9   23.8   14.0    4.4    0.3 
CDK11B            74.7   75.2   71.2   45.2   10.4 
SLC35E2B          16.1    7.3    2.9    0.4    0.0 
CDK11A            71.5   82.2   84.8   77.1   31.5 
SLC35E2           11.5    9.5    6.7    3.0    0.3 
NADK              23.8   27.1   24.5   18.6    6.4 
GNB1              27.1   25.8   20.3   12.4    2.4 
CALML6            58.8   37.4   19.9    4.6    0.1 
TMEM52           115.7   54.4   24.3    3.5    0.0 
CFAP74             3.0    2.2    1.3    0.4    0.0 
GABRD              4.2    4.0    3.8    1.9    0.3 
PRKCZ            116.3   96.3   69.7   29.2    2.8 
FAAP20            32.8   20.4    9.9    2.2    0.1 
SKI               15.4    9.9    5.5    1.3    0.0 
MORN1             16.6   14.6   11.9    4.7    0.6 
RER1               9.6    4.9    2.8    0.9    0.0 
PEX10             26.3   19.2   13.4    3.6    0.2 
PLCH2             27.6   11.6    3.8    0.4    0.0 
PANK4              5.3    5.3    4.3    2.3    0.5 
HES5              29.7   23.7   16.2    5.5    0.5 
TNFRSF14          24.1   13.5    7.9    2.0    0.1 
FAM213B           18.8    7.2    2.8    0.2    0.0 
MMEL1              3.3    1.2    0.3    0.0    0.0 
TTC34             38.4   15.8    6.8    0.7    0.0 
ACTRT2            28.1   32.7   29.9   21.9    8.2 
PRDM16            42.8   13.9    4.5    0.3    0.0 
ARHGEF16           5.5    6.1    5.8    3.4    0.9 
MEGF6              9.3    3.5    1.2    0.1    0.0 
TPRG1L            17.7    9.2    3.9    0.6    0.0 
WRAP73            30.5   26.0   21.1    9.9    1.3 
TP73              14.9   15.6   12.2    7.1    1.3 
CCDC27             8.0    0.9    0.1    0.0    0.0 
SMIM1              3.7    1.5    0.7    0.1    0.0 
LRRC47            14.5    5.3    2.0    0.2    0.0 
CEP104            96.8  131.9  124.7  120.8   63.2 
DFFB              16.5   11.5    8.8    3.6    0.4 
C1orf174          87.1   58.3   38.8   11.1    0.7 
AJAP1             37.1   17.9    8.1    1.5    0.0 
NPHP4             40.4   52.9   58.3   55.5   30.0 
KCNAB2            18.5    9.2    4.8    0.9    0.0 
CHD5               4.3    5.1    5.0    3.6    1.5 
RPL22             24.2   21.1   16.1    8.0    1.2 
RNF207            50.8   64.6   68.0   56.7   25.3 
ICMT               1.3    0.8    0.4    0.1    0.0 
HES3              13.6    5.5    2.0    0.2    0.0 
GPR153            15.0   11.4    7.6    2.7    0.2 
ACOT7              6.3    1.4    0.3    0.0    0.0 
HES2              33.2   28.5   19.7    9.6    1.1 
ESPN              23.9   30.0   35.2   44.3   35.2 
TNFRSF25          20.0   27.9   32.1   34.8   22.9 
PLEKHG5           17.2   10.3    6.4    1.6    0.1 
NOL9              65.5   35.2   17.8    3.6    0.1 
TAS1R1            13.8    8.6    5.5    1.5    0.1 
ZBTB48            57.0   91.9  115.5  148.8  137.6 
KLHL21           116.6  122.6  128.0  117.8   50.5 
PHF13             53.3   47.4   36.9   17.8    2.6 
THAP3             10.8    8.0    5.3    1.7    0.1 
DNAJC11          133.8  145.5  116.3   81.7   22.1 
CAMTA1            17.1    3.0    0.5    0.0    0.0 
VAMP3             30.6   31.3   33.5   25.4   10.6 
PER3              25.1   25.8   18.8    9.8    1.7 
UTS2              59.0   66.9   78.4   66.8   32.8 
TNFRSF9           21.4   19.4   17.9    8.6    1.6 
PARK7            127.4  102.5   79.2   33.6    4.1 
ERRFI1            42.8   38.2   28.3   14.6    1.7 
SLC45A1           31.6   13.5    5.7    0.7    0.0 
RERE               4.5    2.2    0.9    0.2    0.0 
ENO1              18.0   15.5   13.7    7.1    1.3 
CA6               28.2   22.0   15.0    4.7    0.3 
SLC2A7            26.8   25.3   18.9   10.4    1.7 
SLC2A5            21.6   16.8   13.4    4.7    0.5 
GPR157            85.6  109.4   84.6   56.1   18.2 
H6PD              46.1   35.3   23.7    7.5    0.4 
SPSB1              5.5    4.7    3.3    1.5    0.2 
SLC25A33         215.1  266.9  372.9  354.1  227.6 
TMEM201           52.8   67.1   73.9   71.4   35.5 
PIK3CD           164.1  132.2   88.2   32.6    2.8 
CLSTN1            37.2   34.4   25.4   11.9    1.5 
AL357140.1        46.6   32.5   23.0   10.2    0.8 
CTNNBIP1          12.1    9.7    7.7    3.5    0.5 
LZIC              10.8    9.6    7.5    3.7    0.6 
NMNAT1            22.8   33.7   44.4   62.3   72.4 
RBP7               6.0    0.7    0.1    0.0    0.0 
UBE4B             93.9   93.1   82.1   44.1    9.2 
KIF1B             38.2   21.3   12.2    2.6    0.1 
PGD              100.4  151.2  237.6  426.9  621.0 
APITD1-CORT       22.2   23.3   20.2   11.4    2.7 
APITD1            31.0   10.2    2.4    0.1    0.0 
CORT               9.8    8.9    7.9    4.4    0.9 
DFFA              42.7   36.7   32.0   14.1    3.1 
PEX14             24.6   29.6   29.9   25.0    9.7 
CASZ1             65.4   81.1   86.8   88.1   48.5 
C1orf127           4.6    4.6    2.6    1.1    0.1 
TARDBP            29.1   25.2   24.5   14.0    2.9 
RP4-635E18.9      22.2   18.2   11.6    5.0    0.5 
MASP2             71.5   96.1  127.6  203.0  227.3 
SRM              329.9  448.7  565.6  729.0  739.1 
EXOSC10            5.4    0.1    0.0    0.0    0.0 
MTOR              50.5   61.2   77.6   73.2   46.2 
ANGPTL7          175.8  179.5  169.4  138.9   43.5 
UBIAD1            95.1   81.6   64.3   32.2    5.7 
DISP3             19.1   23.0   26.1   25.9   14.2 
FBXO2             32.6    5.2    0.8    0.0    0.0 
FBXO44             4.6    5.4    5.3    5.1    3.1 
FBXO6             32.4    9.0    2.2    0.1    0.0 
MAD2L2            22.3   27.7   29.8   27.4   14.8 
DRAXIN            10.3    6.7    3.6    1.0    0.0 
AGTRAP            22.3    0.9    0.0    0.0    0.0 
C1orf167         268.3  328.7  457.6  528.7  554.7 
MTHFR             45.4   80.1  108.2  222.0  485.2 
CLCN6             34.8   34.9   33.1   21.8    4.8 
NPPA               6.6    1.4    0.2    0.0    0.0 
NPPB             127.2  142.4  124.2  110.1   41.4 
KIAA2013          19.6   16.7   13.8    6.3    1.0 
PLOD1             24.1   20.1   13.4    6.5    0.8 
MFN2              45.0   65.2   69.5   80.8   63.6 
MIIP             151.8  207.1  210.7  227.9  155.8 
TNFRSF8           11.6    3.6    0.9    0.1    0.0 
TNFRSF1B         121.8   96.1   64.3   19.7    1.3 
VPS13D             9.5    7.1    4.6    1.4    0.1 
DHRS3             22.8   28.8   30.9   26.3   10.8 
AADACL4           21.9   23.7   22.4   13.3    3.5 
AADACL3           14.4   19.1   25.0   29.9   28.7 
C1orf158          92.1  109.5  129.1  117.7   64.3 
PRAMEF12          10.4    4.3    1.5    0.1    0.0 
PRAMEF1           13.5   10.4    6.6    1.8    0.1 
PRAMEF11         114.9   79.4   44.5    9.9    0.3 
HNRNPCL1          14.2    8.2    5.4    1.4    0.1 
PRAMEF2           50.9   15.2    3.9    0.2    0.0 
PRAMEF4           73.1  120.1  146.8  180.5  168.4 
PRAMEF10          13.6   11.6    9.5    4.2    0.5 
PRAMEF7           17.3   20.5   23.5   31.1   29.0 
PRAMEF6           20.7   18.0   14.2    8.0    1.5 
PRAMEF27          28.4   29.1   27.5   17.8    4.4 
PRAMEF25           9.3    7.1    3.9    1.1    0.0 
HNRNPCL3          59.4   29.0   14.9    2.5    0.1 
HNRNPCL2          13.1   15.8   16.0   14.5    7.3 
PRAMEF26          65.3   77.0   93.9   93.5   68.3 
HNRNPCL4         132.8   35.9    8.4    0.3    0.0 
PRAMEF9           54.7   65.9   92.3  113.2  101.2 
PRAMEF18           9.6    4.5    1.8    0.2    0.0 
PRAMEF5           15.0    8.5    4.6    1.0    0.0 
PRAMEF8           10.3   10.9   12.1    9.7    5.1 
PRAMEF15          40.5   26.3   19.7    6.2    0.4 
PRAMEF14          32.9   28.7   26.7   15.3    2.5 
PRAMEF19         101.8  150.4  188.4  272.9  289.8 
PRAMEF17           5.5    5.6    5.4    3.8    1.2 
PRAMEF20          55.0   41.9   22.9    6.5    0.4 
LRRC38             4.5    1.8    0.6    0.1    0.0 
PDPN             103.9  136.9  128.6  106.6   48.3 
PRDM2            112.5  162.3  207.5  277.9  261.3 
KAZN             109.2   90.9   76.7   35.0    6.5 
TMEM51            97.6   93.4   87.6   52.0   10.1 
FHAD1             38.5   41.4   48.4   44.0   20.3 
EFHD2              9.3    8.6    6.4    2.7    0.3 
CTRC              53.9   95.4  140.2  261.7  550.2 
CELA2A            35.1    4.8    0.7    0.0    0.0 
CELA2B             5.4    5.0    4.2    2.0    0.4 
CASP9             35.1   16.2    6.8    0.9    0.0 
DNAJC16           38.3   32.5   22.7   10.8    1.5 
AGMAT              8.0    3.4    1.2    0.2    0.0 
DDI2              14.7   17.2   23.5   28.8   27.2 
RSC1A1            50.3   18.7    6.9    0.7    0.0 
PLEKHM2           78.8   72.0   61.3   31.4    5.5 
SLC25A34          13.5    6.9    4.0    0.9    0.0 
TMEM82            14.4    8.5    3.8    0.8    0.0 
FBLIM1            54.5   45.3   27.3    9.7    0.7 
UQCRHL            44.3   60.6   66.7   70.2   57.5 
SPEN             147.5  188.3  183.8  156.7   68.1 
ZBTB17            48.5   49.9   41.3   23.8    4.6 
C1orf64           40.6   32.8   24.6   12.1    1.6 
HSPB7            146.1  189.5  230.0  228.9  163.9 
CLCNKA            19.5    7.0    2.1    0.2    0.0 
CLCNKB             3.7    1.8    0.8    0.1    0.0 
FAM131C            9.5    6.1    3.6    1.1    0.1 
EPHA2            141.3  162.0  161.6  132.9   52.5 
ARHGEF19          13.9    2.1    0.3    0.0    0.0 
RSG1              25.6   16.4    9.3    2.1    0.1 
FBXO42            15.1    5.7    2.0    0.2    0.0 
SZRD1             88.6   76.6   59.4   30.6    4.7 
SPATA21           60.5   52.0   40.8   23.5    3.5 
NECAP2            30.6   32.9   33.5   28.3    9.5 
FAM231B            7.5    9.0    7.6    6.9    2.6 
NBPF1             31.1   24.9   19.4    7.3    0.9 
FAM231A           55.4   22.2    7.7    0.8    0.0 
FAM231C            3.7    6.6   10.5   23.1   69.7 
CROCC             40.1   53.8   62.6   63.1   52.3 
MFAP2             18.9   25.6   27.9   32.3   27.3 
ATP13A2           42.6    5.5    0.6    0.0    0.0 
SDHB              22.4   20.2   16.8    7.8    1.6 
PADI2             51.3   55.2   45.1   32.3    9.3 
PADI1             24.5    1.2    0.1    0.0    0.0 
PADI3             66.4   29.3   13.3    1.7    0.0 
PADI4             12.6   11.8   11.7    9.8    3.2 
AC004824.1        10.5    5.3    2.3    0.4    0.0 
PADI6            148.9   79.3   34.9    5.8    0.1 
RCC2              37.4   21.6   12.3    2.7    0.1 
ARHGEF10L         52.9   38.3   23.9    6.4    0.4 
ACTL8             34.4   46.8   61.2   67.1   58.7 
IGSF21             6.6    4.2    2.5    0.7    0.0 
KLHDC7A           11.2    5.2    2.3    0.3    0.0 
PAX7              26.9   34.1   38.7   54.9   41.7 
TAS1R2            15.7   18.9   16.8   12.9    4.0 
RP13-279N23.2     21.9   20.2   16.5   10.1    2.2 
ALDH4A1          114.9  119.5  131.5   99.8   45.3 
IFFO2              1.6    0.6    0.2    0.0    0.0 
UBR4              10.6    6.6    3.7    1.0    0.0 
EMC1              12.3    3.7    1.0    0.1    0.0 
MRTO4             12.2    9.2    6.4    2.0    0.2 
AKR7A3            48.3   54.9   58.4   43.1   16.3 
AKR7A2            13.7    9.3    6.5    2.3    0.2 
PQLC2             13.2    5.3    2.1    0.3    0.0 
CAPZB              8.9   12.0   12.6   12.4    7.0 
MINOS1            47.8   32.6   20.1    4.9    0.3 
MINOS1-NBL1       17.1    8.3    3.8    0.6    0.0 
NBL1              74.7   80.4   72.1   43.3   12.6 
HTR6               5.6    3.0    1.3    0.2    0.0 
TMCO4              9.5    3.9    1.3    0.1    0.0 
RNF186            15.3   15.4   10.8    5.1    0.8 
OTUD3             68.9   80.3   63.3   43.6    9.5 
PLA2G2E           16.2    6.1    2.1    0.2    0.0 
PLA2G2A           17.0   16.4   13.6    6.7    1.3 
PLA2G5            31.2    4.6    0.6    0.0    0.0 
PLA2G2D           11.5    9.2    7.0    2.6    0.3 
PLA2G2F          173.8  262.9  373.7  540.2  665.2 
PLA2G2C           42.9   25.2   13.9    3.0    0.1 
UBXN10            15.3    2.8    0.5    0.0    0.0 
VWA5B1           210.4  247.1  259.5  229.7  104.2 
CAMK2N1          163.9  126.5   93.6   38.9    3.9 
MUL1             227.9  208.9  178.3  115.8   19.4 
FAM43B            14.4   19.0   20.4   22.1   13.5 
CDA               15.5    7.1    3.2    0.4    0.0 
PINK1              9.8    8.3    5.5    2.2    0.2 
DDOST             40.4   24.3   14.0    3.9    0.2 
KIF17            163.7  149.2  136.2   73.3   15.4 
SH2D5            314.4  463.4  678.5  929.9 1297.6 
HP1BP3            11.1    7.8    6.4    2.7    0.3 
EIF4G3           121.4   93.2   60.0   19.5    1.1 
ECE1              15.4   11.4    7.9    2.7    0.2 
NBPF3             68.1   79.1   87.7   85.5   46.6 
ALPL               6.3    1.7    0.4    0.0    0.0 
RAP1GAP           10.6    7.4    4.8    1.6    0.1 
USP48             53.1   55.3   47.2   30.8    8.0 
LDLRAD2           87.0  108.1  135.1  146.6  110.6 
HSPG2             30.4   34.3   26.6   15.1    2.8 
CELA3B            21.3   22.2   23.7   19.6    9.1 
CELA3A           168.2  228.3  382.4  516.3  671.2 
CDC42             22.4   31.9   40.6   53.4   53.7 
WNT4              13.0    9.6    5.0    1.6    0.1 
ZBTB40            92.2   75.2   48.9   20.9    2.2 
EPHA8             47.8   48.4   44.1   29.5    8.5 
C1QA               6.7    0.5    0.0    0.0    0.0 
C1QC              18.2   10.0    4.5    0.9    0.0 
C1QB               9.6    8.6    6.2    2.9    0.5 
EPHB2             63.4   88.6   98.9  116.9   78.7 
LACTBL1           69.5   55.6   31.4   10.9    0.8 
C1orf234          14.0   14.3   14.7   10.2    3.3 
KDM1A             53.7    9.6    1.8    0.0    0.0 
LUZP1             28.4    6.1    1.4    0.1    0.0 
HTR1D             36.8   35.0   29.8   19.0    4.4 
HNRNPR            20.9    7.5    2.4    0.2    0.0 
ZNF436           175.2  238.4  288.6  364.0  290.6 
TCEA3             40.3   58.7   74.4   78.8   75.2 
ASAP3             19.5   11.7    7.1    2.4    0.1 
E2F2             186.2  237.8  358.5  500.8  511.5 
ID3               29.0   13.6    5.5    0.7    0.0 
MDS2              23.3   11.5    4.9    0.9    0.0 
RPL11             25.1   26.1   29.4   23.2   10.8 
TCEB3             34.0   46.6   62.8   86.9  110.1 
PITHD1             6.3    1.2    0.2    0.0    0.0 
LYPLA2            10.6    5.0    2.1    0.4    0.0 
GALE              10.1   10.7    9.7    5.6    1.3 
HMGCL             58.4   49.5   42.9   25.1    5.4 
FUCA1             14.9    6.2    2.6    0.3    0.0 
CNR2              13.7   10.9    8.5    4.0    0.6 
PNRC2             15.3   15.3   14.7    9.7    2.5 
SRSF10            30.1   28.5   20.4   12.2    1.7 
MYOM3             17.6   21.8   26.1   23.0   14.0 
IL22RA1           41.9   30.8   21.8    8.5    0.8 
IFNLR1            16.2   19.4   21.3   21.3   11.4 
GRHL3             53.0   58.1   59.6   45.1   16.5 
STPG1             13.0   15.6   17.7   17.8   10.6 
NIPAL3            11.0    8.9    5.9    2.5    0.2 
RCAN3             55.1   13.9    2.7    0.1    0.0 
NCMAP             41.7   32.5   26.2   13.0    1.7 
SRRM1             37.4   38.7   36.5   24.2    7.3 
CLIC4             10.4   11.0    9.0    6.3    1.7 
RUNX3              8.0    6.7    5.0    2.2    0.2 
SYF2             561.9  594.7  563.6  334.5   94.9 
RSRP1             82.8   98.1  101.1   89.5   39.5 
RHD               25.0   28.9   28.1   20.5    6.9 
TMEM50A           24.2   28.0   27.7   22.1    8.4 
RHCE             111.5   76.9   54.6   15.3    1.0 
TMEM57            17.4   13.6   11.1    4.3    0.6 
LDLRAP1            7.5    3.6    1.7    0.3    0.0 
MAN1C1            14.1    9.9    7.2    2.7    0.3 
SEPN1             39.9   28.3   16.3    4.6    0.2 
RP1-317E23.6      30.8   22.7   15.7    6.8    0.6 
MTFR1L            15.4   14.6   12.5    7.8    1.6 
AUNIP             80.7   68.9   49.7   26.9    4.0 
PAQR7             23.1   23.7   17.8   10.9    2.2 
STMN1              3.2    2.3    1.4    0.5    0.0 
PAFAH2             7.5    3.6    1.7    0.3    0.0 
EXTL1             23.5   24.6   24.2   15.0    3.4 
SLC30A2           19.8    6.8    2.1    0.2    0.0 
TRIM63            17.3   16.6   13.7    7.5    1.4 
PDIK1L            34.3   31.7   22.9    9.1    1.2 
FAM110D           45.3   17.5    6.9    0.8    0.0 
RP11-96L14.8      34.4   33.7   24.2   17.5    3.1 
RP11-96L14.7      13.7   11.8    8.4    4.1    0.5 
ZNF593           237.2  271.6  302.3  350.9  274.3 
CNKSR1            15.5    9.8    5.4    1.1    0.0 
CATSPER4          34.7   24.2   12.4    2.9    0.1 
CEP85             49.1   60.7   55.7   47.3   18.7 
SH3BGRL3         183.2  241.0  241.6  220.5   98.4 
UBXN11             8.6    3.6    1.3    0.1    0.0 
CD52              54.0   70.4   98.7  113.5   98.7 
AIM1L              4.8    2.1    0.9    0.1    0.0 
ZNF683            16.4   15.3   10.7    4.2    0.4 
LIN28A            37.9   38.7   31.3   16.5    3.0 
DHDDS             74.7   25.3    6.5    0.4    0.0 
HMGN2             16.9   14.6    9.5    5.1    0.6 
RPS6KA1           18.6    8.1    2.4    0.2    0.0 
ARID1A            13.8    9.1    4.2    0.8    0.0 
PIGV              25.5   15.2    7.3    1.4    0.0 
ZDHHC18           67.7   33.6   12.7    2.0    0.0 
SFN               19.1    6.2    1.6    0.1    0.0 
GPN2              32.7   29.5   23.3   13.1    2.1 
GPATCH3           55.5   47.7   28.8   11.3    1.0 
NUDC               2.9    1.0    0.3    0.0    0.0 
NR0B2            112.6  110.4   86.8   58.2   11.3 
KDF1               9.4    3.0    0.8    0.0    0.0 
TRNP1             47.5   27.8   12.3    2.2    0.0 
FAM46B            16.9   17.6   20.0   14.3    4.8 
AL137860.1         7.6    9.7   10.0    8.7    4.0 
SLC9A1            27.4   16.0    8.0    1.5    0.0 
WDTC1              5.6    3.5    1.7    0.3    0.0 
TMEM222            8.7    4.5    1.8    0.3    0.0 
SYTL1            110.1   45.1   15.7    1.7    0.0 
MAP3K6           353.5  316.3  304.9  161.4   30.7 
FCN3              14.2    6.2    2.5    0.3    0.0 
CD164L2          213.6  350.2  438.6  792.1 1123.2 
GPR3              18.6   17.1   15.3    9.8    1.5 
WASF2             16.2    4.5    1.2    0.1    0.0 
AHDC1             13.9   10.2    6.3    1.7    0.1 
FGR               22.1   12.0    5.5    1.1    0.0 
IFI6              78.9   47.8   28.8    8.4    0.4 
FAM76A            93.5   85.0   85.0   60.1   15.5 
STX12             59.4   49.4   36.8   14.4    1.5 
PPP1R8             9.1    5.6    2.9    0.8    0.0 
AL109927.1       110.4  167.2  211.6  317.3  321.7 
THEMIS2           27.3   10.1    3.3    0.2    0.0 
RPA2              15.6   11.6    7.0    2.5    0.2 
SMPDL3B           47.0   16.5    5.3    0.5    0.0 
XKR8               2.0    1.5    0.7    0.2    0.0 
EYA3              66.0   74.4   64.6   48.1   14.2 
PTAFR             23.8   13.1    6.6    1.4    0.0 
DNAJC8            14.6    6.2    2.4    0.3    0.0 
ATPIF1           151.4  172.3  196.6  168.2   82.9 
SESN2             51.8   53.0   59.6   41.6   15.7 
MED18              4.9    3.2    1.6    0.4    0.0 
PHACTR4          213.4  130.9   98.6   30.3    2.1 
RCC1              22.8   15.9    9.0    3.1    0.2 
TRNAU1AP          32.8   15.1    5.5    0.7    0.0 
TAF12             10.9    6.1    3.0    0.6    0.0 
RAB42             27.1   28.6   26.8   19.7    5.9 
GMEB1            114.8  151.1  148.3  126.5   57.0 
YTHDF2            16.7   11.2    6.7    1.9    0.1 
OPRD1             18.1   10.6    6.7    1.4    0.1 
EPB41             20.7   20.3   17.0    8.4    1.6 
TMEM200B         113.3   96.4   85.2   38.3    5.2 
SRSF4              3.5    2.1    1.2    0.3    0.0 
MECR              30.0   19.6   11.1    3.2    0.1 
PTPRU             12.0    7.7    4.8    1.2    0.1 
MATN1             12.6    7.4    6.3    2.3    0.2 
LAPTM5           228.8  180.0  120.2   43.7    4.0 
